plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
Kepler-990 c,0.53835431,0.0124263,0.0131638,0,,0.136,,,2,Transit,2016,297.9382083,46.88138889,,,933,1.05,1.08,5948,4.39,0.01,6.70E-07,0.00594448,0.000438794,,,0.00038,,,242.95,0.12,0.27,211.07,0.1,0.134,6.70E-07,0.00594448,0.000438794,,,0.04762,,,130.03,0.09,0.14,213.6,-0.16,0.173,,,,3.55,2.38,-1.75,,
Kepler-991 b,82.5342519,0.0201979,0.31971,0,,0.227,,,1,Transit,2016,297.0906666,49.62658333,,,370,0.64,0.61,4392,4.67,-0.25,0.0003449,0.00149708,0.0053285,,,0.00142,,,16.66,0.03,0.02,55.21,0.01,0.099,0.0003449,0.00149708,0.0053285,,,0.02158,,,16.5,0.03,0.02,44.76,-0.02,0.121,,,,3.47,4.22,-1.9,,
Kepler-992 b,20.16034462,0.0120821,0.134576,0,,0.145,,,1,Transit,2016,284.4302916,47.64177778,,,268,0.8,0.74,4944,4.6,-0.04,5.02E-05,0.00109551,0.00224294,,,9.00E-05,,,6.79,0.03,0.02,43.61,0.01,0.101,5.02E-05,0.00109551,0.00224294,,,0.02791,,,7.68,0.03,0.02,46.1,-0.01,0.098,,,,3.02,2.64,-1.3,,
Kepler-993 b,22.08557563,0.0263549,0.127733,0,,0.265,,,1,Transit,2016,292.6140834,44.39466667,,,298,0.57,0.54,3843,4.72,0.03,4.66E-05,0.00242007,0.00212889,,,0.00253,,,14.99,0.02,0.02,50.16,0.02,0.09,4.66E-05,0.00242007,0.00212889,,,0.02447,,,14.13,0.02,0.02,46.25,-0.01,0.094,,,,3.89,5.38,-2.16,,
Kepler-994 b,1.15116651,0.0119381,0.0177185,0,,0.143,,,1,Transit,2016,289.0722084,47.40708333,,,170,0.56,0.54,3934,4.72,-0.13,5.70E-07,0.00176341,0.000316402,,,0.0005,,,9.38,0.03,0.02,38.91,0.02,0.098,5.70E-07,0.00176341,0.000316402,,,0.0295,,,9.36,0.03,0.02,35.14,-0.02,0.098,,,,3.24,4.3,-1.64,,
Kepler-995 b,28.26731672,0.0222358,0.170669,0,,0.241,,,1,Transit,2016,284.6157084,39.13102778,,,659,0.83,0.8,5206,4.57,-0.07,8.64E-05,0.00230917,0.00308439,,,0.00111,,,44.56,0.04,0.05,110.94,0.03,0.148,8.64E-05,0.00230917,0.00308439,,,0.03089,,,44.11,0.05,0.05,74.71,-0.06,0.17,,,,5.01,6.05,-3.2,,
Kepler-996 b,3.77059058,0.014644,0.0487927,0,,0.177,,,1,Transit,2016,291.9127917,41.53361111,,,1098,1.09,1.14,6014,4.36,0.03,8.06E-06,0.00305969,0.00126831,,,0.00057,,,345.52,0.09,0.36,114.4,0.1,0.131,8.06E-06,0.00305969,0.00126831,,,0.07743,,,146.78,0.08,0.14,152.18,-0.2,0.155,,,,3.63,1.81,-1.77,,
Kepler-997 b,2.70730672,0.00842926,0.0406211,0,,0.121,,,1,Transit,2016,289.233375,49.93894444,,,470,1.22,1.56,6150,4.14,0.05,5.52E-06,0.00477988,0.00127635,,,0.00022,,,112.98,0.15,0.37,62.57,0.15,0.081,5.52E-06,0.00477988,0.00127635,,,0.05178,,,88.85,0.08,0.3,54.96,-0.14,0.077,,,,3.63,0.82,-0.69,,
Kepler-998 b,5.65377733,0.0176872,0.0645018,0,,0.207,,,1,Transit,2016,296.7541667,49.20875,,,996,1.12,1.18,6058,4.34,0.07,1.06E-05,0.00394639,0.00172773,,,0.00042,,,260.25,0.1,0.31,104.5,0.1,0.142,1.06E-05,0.00394639,0.00172773,,,0.08058,,,133.44,0.08,0.15,165.4,-0.17,0.149,,,,3.31,1.55,-1.53,,
Kepler-999 b,5.99185702,,,,,0.209,,,1,Transit,2016,299.660466,46.198418,,,568,1.29,1.65,6237,4.11,0.05,8.17E-06,,,,,0.058,,,,0.16,0.46,104.45,0.16,0.091,8.17E-06,,,,,0.044,,,,0.12,0.34,85.91,-0.16,0.068,,,,3.09,0.7,-0.62,,
KIC 10001893 b,0.2197,,,,,,,,3,Orbital Brightness Modulation,2014,287.389188,46.984489,,16,,0.47,,27500,5.35,,,,,,,,,,,,,200,0.05,,,,,,,,,,,,,-500,-0.05,,,,,,,,,
KIC 10001893 c,0.32528,,,,,,,,3,Orbital Brightness Modulation,2014,287.389188,46.984489,,,,,,27500,5.35,,,,,,,,,,,,,200,0.05,,,,,,,,,,,,,-500,-0.05,,,,,,,,,
KIC 10001893 d,0.81161,,,,,,,,3,Orbital Brightness Modulation,2014,287.389188,46.984489,,16,,0.47,,27500,5.35,,,,,,,,,,,,,200,0.05,,,,,,,,,,,,,-500,-0.05,,,,,,,,,
KIC 10024862 b,567.0445,,,,89.868,0.49,,,1,Transit,2015,296.8041667,46.93444446,,16.4,,1.07,1.11,6616,,0.07,0.02557,,,,0.095,0.2,,,,0.17,0.27,169,,0.19,0.02936,,,,0.19,0.14,,,,0.17,0.27,358,,0.39,,,,,,,,
KIC 10255705 b,707.3793,,1.6,0,89.75,0.65,,,1,Transit,2013,282.8541667,47.37750002,,13.5,,1.1,2.12,5030,,-0.13,0.0039,,0.11,,0.17,0.23,,,,0.29,0.44,389,,,0.0157,,0.11,,0.17,0.23,,,,0.17,0.52,143,,,,,,,,,,
KIC 10525077 b,854.083,,,,89.861,0.491,,,1,Transit,2015,287.378077,47.771187,,,,1.01,1.01,6091,4.42,-0.04,0.01628,,,,0.096,0.08,,,,0.12,0.1,164,0.06,0.22,0.01697,,,,0.098,-0.071,,,,0.12,0.1,213,-0.3,0.3,,,,,,,,
KIC 10905746 b,9.8844,,0.0751,,88.42,0.237,,,1,Transit,2011,283.6291667,48.3911111,,13,,0.578,0.548,4240,,-0.23,0.0087,,0.0014,,0.42,0.06,,,,0.032,0.026,112,,0.1,0.0087,,0.0014,,0.42,0.06,,,,0.032,0.026,112,,0.1,,,,,,,,
KIC 11152511 b,287.363,,0.85,0.67,89.39,0.36,,,1,Transit,2013,298.0625,48.72500002,,14,,1.01,2.08,5273,,-0.1,0.0433,,0.05,0.02,0.61,0.025,,,,0.15,0.3,145,,,0.0136,,0.05,0.63,0.61,0.025,,,,0.18,0.45,471,,,,,,,,,,
KIC 11442793 b,7.008151,0.00752338,0.0761616,,89.4,0.117,,0.13,7,Transit,2013,284.4334917,49.30513889,,14,780,1.2,1.2,6080,4.4,-0.12,1.90E-05,0.00283488,0.0021156,,1.5,0.015,,0.32,100,0.1,0.1,260,,0.18,1.90E-05,0.00283488,0.0021156,,1.5,0.015,,-0.32,100,-0.1,0.1,-170,,-0.18,4.6,2.1,-2.1,,,,,
