plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
Kepler-1411 b,86.1150888,0.0240196,0.375175,0,,0.252,,,1,Transit,2016,286.3615833,42.96391667,,,1431,0.95,0.92,5664,4.49,-0.04,0.0009728,0.00442553,0.00724022,,,0.00132,,,206.8,0.05,0.13,67.78,0.05,0.144,0.0009728,0.00442553,0.00724022,,,0.05768,,,116.99,0.06,0.07,68.48,-0.12,0.199,,,,4.17,4.62,-2.5,,
Kepler-1412 b,3.6146051,0.0015002,0.0469983,0,,0.074,,,1,Transit,2016,292.180125,49.20247222,,,639,1.06,1.27,5880,4.25,0.04,2.14E-05,0.00071631,0.000783305,,,0.00027,,,115.6,0.05,0.23,80.65,0.13,0.086,2.14E-05,0.00071631,0.000783305,,,0.02473,,,93.5,0.04,0.18,68.91,-0.13,0.089,,,,6.31,1.3,-1.86,,
Kepler-1413 b,13.1829642,0.0133743,0.103048,0,,0.162,,,1,Transit,2016,294.3416667,46.49877778,,,1162,0.84,0.8,5196,4.57,-0.05,0.0001082,0.00103669,0.00184015,,,0.00122,,,81.33,0.04,0.05,117.54,0.03,0.167,-0.0001082,0.00103669,0.00184015,,,0.02578,,,77.3,0.05,0.05,117.21,-0.06,0.17,,,,4.68,6.21,-2.88,,
Kepler-1414 b,3.51576315,0.00609283,0.0420065,0,,0.11,,,1,Transit,2016,284.9285834,42.42230556,,,534,0.8,0.75,4951,4.59,-0.02,1.19E-05,0.00132349,0.000700108,,,0.00085,,,26.21,0.04,0.03,74.11,0.02,0.154,1.19E-05,0.00132349,0.000700108,,,0.01415,,,27.42,0.04,0.04,76.49,-0.04,0.166,,,,4.68,5.92,-2.8,,
Kepler-1415 b,0.63642408,0.00709482,0.0139284,0,,0.115,,,1,Transit,2016,285.1569167,47.87333333,,,1066,0.89,0.84,5267,4.54,0.12,1.60E-06,0.00173401,0.00023214,,,0.00087,,,76.08,0.04,0.06,55.51,0.03,0.145,1.60E-06,0.00173401,0.00023214,,,0.01713,,,51.78,0.04,0.04,59.06,-0.07,0.148,,,,4.17,6.42,-2.52,,
Kepler-1416 b,1.49514952,0.00189081,0.0263353,0,,0.079,,,1,Transit,2016,298.6634583,43.89408333,,,807,1.09,1.15,6019,4.35,0.03,1.07E-05,0.00123209,0.00124831,,,0.00043,,,313.09,0.2,0.43,321.69,0.12,0.132,1.07E-05,0.00123209,0.00124831,,,0.04057,,,139.18,0.11,0.18,283.99,-0.21,0.155,,,,2.95,2.62,-1.23,,
Kepler-1417 b,20.3505213,0.00289089,0.146844,0,,0.089,,,1,Transit,2016,290.949875,40.60522222,,,656,1.02,1.02,5839,4.43,0.02,0.0003037,0.00131783,0.0028793,,,0.00028,,,130.47,0.06,0.2,93.84,0.07,0.154,0.0003037,0.00131783,0.0028793,,,0.02772,,,63.31,0.06,0.09,137.75,-0.15,0.162,,,,4.07,2.72,-2.3,,
Kepler-1418 b,22.4764425,0.0123008,0.142864,0,,0.148,,,1,Transit,2016,282.9974583,41.67855556,,,499,0.77,0.72,4770,4.61,0,0.0001747,0.000681546,0.00238106,,,0.00073,,,20.11,0.03,0.02,59.97,0.02,0.15,-0.0001747,0.000681546,0.00238106,,,0.01827,,,25.12,0.04,0.03,63.35,-0.03,0.167,,,,3.63,5.94,-1.95,,
Kepler-1419 b,42.5215895,0.024536,0.239214,0,,0.255,,,1,Transit,2016,292.2546251,37.97141667,,,1444,1.01,1.01,5796,4.43,0.04,0.0005032,0.00620152,0.00513165,,,0.00167,,,324.63,0.06,0.23,113.94,0.07,0.139,0.0005032,0.00620152,0.00513165,,,0.08333,,,153.28,0.07,0.1,157.22,-0.16,0.17,,,,4.37,3.1,-2.56,,
Kepler-142 b,2.024152,0.014692,0.0313162,,,0.177536,,0.49,3,Transit,2014,295.1188334,48.48128056,,,,0.99,1.27,5790,4.262,-0.274,3.00E-06,0.00277233,0.000521936,,,0.0347935,,0.25,,,0.24,100,0.15,,3.00E-06,0.00277233,0.000521936,,,0.0347935,,-0.25,,,0.24,100,0.15,,,,,,,,,
Kepler-142 c,4.761702,0.0245625,0.0553921,,,0.255,,0.37,3,Transit,2014,295.1188334,48.48128056,,,,0.99,1.27,5790,4.262,-0.274,5.00E-06,0.00698012,0.000923202,,,0.049,,0.21,,,0.24,100,0.15,,5.00E-06,0.00698012,0.000923202,,,0.049,,-0.21,,,0.24,100,0.15,,,,,,,,,
Kepler-142 d,41.809118,0.0161415,0.235751,,,0.192702,,0.94,3,Transit,2014,295.1188334,48.48128056,,,,0.99,1.27,5790,4.262,-0.274,0.000562,0.00363528,0.00392919,,,0.0419306,,0.33,,,0.24,100,0.15,,0.000562,0.00363528,0.00392919,,,0.0419306,,-0.33,,,0.24,100,0.15,,,,,,,,,
Kepler-1420 b,6.69960006,0.00688654,0.0650994,0,,0.114,,,1,Transit,2016,296.2037916,42.77783333,,,923,0.82,0.79,5187,4.57,-0.1,4.50E-05,0.00211719,0.00158779,,,0.00089,,,91.97,0.06,0.07,207.12,0.04,0.167,4.50E-05,0.00211719,0.00158779,,,0.02211,,,74.02,0.06,0.06,171.94,-0.06,0.194,,,,4.9,5.79,-3.1,,
Kepler-1421 b,6.9131112,0.00225358,0.0765054,0,,0.083,,,1,Transit,2016,286.5805833,48.54419444,,,675,1.25,1.42,6335,4.23,0.05,0.00014,0.00108104,0.00153011,,,0.00044,,,138.3,0.09,0.29,73.18,0.09,0.093,0.00014,0.00108104,0.00153011,,,0.02756,,,77.28,0.06,0.16,69.44,-0.13,0.094,,,,2.75,0.46,-0.8,,
Kepler-1422 b,18.6051942,0.0149156,0.143967,0,,0.18,,,1,Transit,2016,293.8901667,48.33611111,,,2081,1.15,1.23,6194,4.32,0,0.0003246,0.00250403,0.00354701,,,0.00082,,,406.21,0.09,0.24,143.17,0.09,0.136,-0.0003246,0.00250403,0.00354701,,,0.06018,,,275.56,0.08,0.15,121.64,-0.13,0.165,,,,3.02,1.18,-1.3,,
Kepler-1423 b,23.955378,0.00364938,0.150343,0,,0.095,,,1,Transit,2016,288.2437917,41.11008333,,,449,0.79,0.75,4939,4.59,-0.02,0.0001729,0.000872954,0.00253744,,,0.00093,,,21.55,0.04,0.03,85.32,0.02,0.144,0.0001729,0.000872954,0.00253744,,,0.01307,,,24.68,0.04,0.04,84.66,-0.04,0.171,,,,4.68,5.87,-2.79,,
Kepler-1424 b,29.6091744,0.00485109,0.188549,0,,0.103,,,1,Transit,2016,290.9916666,40.22933333,,,620,1.02,1.07,5838,4.39,0.01,0.0003002,0.00178202,0.00314248,,,0.00036,,,82.04,0.05,0.14,94.69,0.08,0.085,0.0003002,0.00178202,0.00314248,,,0.02464,,,55.36,0.04,0.09,90.41,-0.1,0.09,,,,5.25,2.18,-2.7,,
Kepler-1425 b,14.4541302,0.00235177,0.114954,0,,0.084,,,1,Transit,2016,294.9510417,43.01244444,,,499,0.97,0.95,5718,4.47,-0.03,0.0001621,0.00114909,0.00276522,,,0.00108,,,87.54,0.07,0.16,170.34,0.07,0.142,0.0001621,0.00114909,0.00276522,,,0.02792,,,51.52,0.07,0.09,173.56,-0.13,0.181,,,,4.07,4.38,-2.39,,
Kepler-1426 b,14.2563227,0.0116544,0.115827,0,,0.139,,,1,Transit,2016,292.54575,49.41697222,,,1211,1.02,1.02,5831,4.43,0.03,0.000194,0.00413102,0.00227113,,,0.00052,,,248.18,0.06,0.21,81.81,0.07,0.139,-0.000194,0.00413102,0.00227113,,,0.04348,,,116.71,0.06,0.09,107.42,-0.16,0.167,,,,4.07,2.89,-2.27,,
Kepler-1427 b,0.96897238,0.00407386,0.0192274,0,,0.098,,,1,Transit,2016,295.3496667,45.11455556,,,1220,1.01,1.01,5793,4.44,0.06,6.77E-06,0.0019154,0.000444198,,,0.00085,,,249.85,0.07,0.2,120.55,0.07,0.139,6.77E-06,0.0019154,0.000444198,,,0.03115,,,130,0.07,0.1,179.64,-0.15,0.157,,,,4.07,3.15,-2.38,,
Kepler-1428 b,10.67607169,0.0121546,0.103027,0,,0.146,,,1,Transit,2016,297.6422501,49.59497222,,,802,1.28,1.36,6184,4.28,0.35,6.09E-05,0.000122828,0.00171712,,,0.00049,,,56.47,0.03,0.1,53.72,0.05,0.054,6.09E-05,0.000122828,0.00171712,,,0.02051,,,47.66,0.03,0.08,58.83,-0.05,0.054,,,,2.04,0.576,-0.619,,
Kepler-1429 b,4.48487493,0.00709482,0.0540966,0,,0.115,,,1,Transit,2016,285.3662501,49.04486111,,,1156,1.05,1.07,5902,4.4,0.04,4.56E-05,0.00364628,0.00103041,,,0.00068,,,306.01,0.06,0.28,68.85,0.08,0.135,4.56E-05,0.00364628,0.00103041,,,0.04232,,,113.56,0.06,0.1,77,-0.18,0.166,,,,4.17,2.24,-2.28,,
Kepler-143 b,16.007583,0.0186399,0.124306,,,0.215006,,0.79,2,Transit,2014,298.0677084,49.4126,,,,,1.36,5848,4.202,-0.167,9.30E-05,0.00530732,0.00207176,,,0.0535284,,0.06,,,0.32,168,0.17,,-9.30E-05,0.00530732,0.00207176,,,0.0535284,,-0.06,,,0.32,168,0.17,,,,,,,,,
Kepler-143 c,27.082511,0.0341953,0.176495,,,0.301,,0.89,2,Transit,2014,298.0677084,49.4126,,,,,1.36,5848,4.202,-0.167,0.000169,0.0141727,0.00294158,,,0.075,,0.32,,,0.32,168,0.17,,0.000169,0.0141727,0.00294158,,,0.075,,-0.32,,,0.32,168,0.17,,,,,,,,,
Kepler-1430 b,2.46050993,0.00518721,0.0326929,0,,0.105,,,1,Transit,2016,289.6975001,43.37208333,,,541,0.77,0.72,4796,4.62,-0.03,1.27E-05,0.00118624,0.000636875,,,0.00098,,,22.62,0.04,0.02,46.68,0.02,0.201,1.27E-05,0.00118624,0.000636875,,,0.01402,,,31.36,0.05,0.04,59.94,-0.02,0.178,,,,2.09,5.26,-0.734,,
Kepler-1431 b,5.86601526,0.0109866,0.0642857,0,,0.131,,,1,Transit,2016,292.658375,49.86519444,,,1270,1.03,1.03,5806,4.42,0.07,4.72E-05,0.00571303,0.00114424,,,0.00045,,,358.35,0.06,0.29,77.08,0.07,0.139,4.72E-05,0.00571303,0.00114424,,,0.05055,,,125.08,0.05,0.1,100.35,-0.2,0.141,,,,4.27,2.88,-2.5,,
Kepler-1432 b,23.9109011,0.0166923,0.167165,0,,0.198,,,1,Transit,2016,295.5241667,49.82955556,,,1552,1.09,1.13,6031,4.37,0.02,0.0002703,0.00398071,0.00408967,,,0.00299,,,404.13,0.09,0.29,121.96,0.09,0.134,0.0002703,0.00398071,0.00408967,,,0.08601,,,185.52,0.07,0.13,137.46,-0.17,0.15,,,,3.47,1.7,-1.75,,
Kepler-1433 b,4.13592271,0.0116544,0.0526772,0,,0.139,,,1,Transit,2016,287.3632917,49.45688889,,,1328,1.14,1.19,6097,4.34,0.07,2.89E-05,0.005369,0.00138624,,,0.00073,,,370.22,0.11,0.33,97.58,0.08,0.14,2.89E-05,0.005369,0.00138624,,,0.05527,,,149.1,0.07,0.13,116.39,-0.17,0.138,,,,3.02,1.2,-1.36,,
Kepler-1434 b,8.05333618,0.00422224,0.0894052,0,,0.099,,,1,Transit,2016,295.538375,51.20294444,,,680,1.47,2.04,6291,3.98,0.19,8.91E-05,0.00220087,0.00253416,,,0.00023,,,121.44,0.13,0.37,88.58,0.12,0.091,8.91E-05,0.00220087,0.00253416,,,0.03677,,,113.48,0.12,0.34,88.27,-0.11,0.094,,,,2.57,0.49,-0.48,,
Kepler-1435 b,4.45343281,0.00172655,0.0564501,0,,0.077,,,1,Transit,2016,291.1732917,44.92113889,,,681,1.21,1.32,6356,4.28,-0.03,3.59E-05,0.000641081,0.000940835,,,0.00023,,,90.33,0.06,0.18,74.81,0.07,0.088,3.59E-05,0.000641081,0.000940835,,,0.01877,,,60.18,0.06,0.11,65.48,-0.09,0.097,,,,2.63,0.64,-0.88,,
Kepler-1436 b,9.705716,0.00752338,0.0907946,0,,0.117,,,1,Transit,2016,297.7115834,46.76802778,,,1142,1.06,1.09,5972,4.39,-0.01,0.0001638,0.00407485,0.00228414,,,0.00045,,,300.54,0.08,0.29,141.9,0.09,0.132,0.0001638,0.00407485,0.00228414,,,0.04655,,,154.02,0.08,0.14,172.48,-0.18,0.179,,,,3.8,2.35,-2.03,,
Kepler-1437 b,10.9295461,0.00866602,0.0940811,0,,0.122,,,1,Transit,2016,291.8649167,49.32591667,,,1182,0.93,0.9,5557,4.51,-0.02,0.0001172,0.00285483,0.00156802,,,0.00039,,,146.29,0.04,0.11,78.69,0.04,0.142,0.0001172,0.00285483,0.00156802,,,0.02661,,,83.05,0.05,0.06,80.38,-0.11,0.167,,,,4.57,5.13,-2.82,,
Kepler-1438 b,2.31942009,0.00235177,0.0339456,0,,0.084,,,1,Transit,2016,289.2897917,40.68166667,,,866,0.97,0.96,5530,4.46,0.2,1.70E-05,0.00105526,0.000583258,,,0.00049,,,171.03,0.05,0.19,56.64,0.07,0.134,1.70E-05,0.00105526,0.000583258,,,0.02551,,,70.22,0.05,0.07,67.02,-0.16,0.175,,,,5.37,4.84,-3.62,,
Kepler-1439 b,8.07392849,0.0107116,0.0608017,0,,0.13,,,1,Transit,2016,285.7397916,40.98002778,,,215,0.46,0.43,3578,4.83,-0.03,4.78E-05,0.00372147,0.00220296,,,0.00073,,,25.76,0.04,0.04,54.92,0.05,0.112,4.78E-05,0.00372147,0.00220296,,,0.03027,,,30.65,0.06,0.05,51.71,-0.04,0.126,,,,4.07,6.04,-2.43,,
Kepler-144 b,5.885273,0.00789025,0.0637947,,,0.119,,0.34,2,Transit,2014,281.9157084,42.77551111,,,,1.03,1.235,6075,4.29,-0.326,2.00E-05,0.00417785,0.00106324,,,0.023,,0.23,,,0.237,131,0.15,,2.00E-05,0.00417785,0.00106324,,,0.023,,-0.23,,,0.237,131,-0.15,,,,,,,,,
Kepler-144 c,10.104665,0.00829825,0.0914719,,,0.12,,0.25,2,Transit,2014,281.9157084,42.77551111,,,,1.03,1.235,6075,4.29,-0.326,4.30E-05,0.00433435,0.00152453,,,0.023,,0.22,,,0.237,131,0.15,,-4.30E-05,0.00433435,0.00152453,,,0.023,,-0.22,,,0.237,131,-0.15,,,,,,,,,
Kepler-1440 b,39.859484,0.00648186,0.226831,0,,0.112,,,1,Transit,2016,285.3469584,48.31225,,,685,0.98,0.96,5698,4.46,0.04,0.001034,0.00276386,0.00378052,,,0.00016,,,123.93,0.04,0.17,66.72,0.06,0.137,0.001034,0.00276386,0.00378052,,,0.03284,,,52.01,0.05,0.07,68.65,-0.14,0.171,,,,4.47,4.08,-2.7,,
Kepler-1441 b,39.4419839,0.00752338,0.226767,0,,0.117,,,1,Transit,2016,293.719125,43.12458333,,,751,1,1,5802,4.45,0.01,0.0005327,0.00299386,0.00453533,,,0.00074,,,121.64,0.06,0.16,122.74,0.07,0.145,-0.0005327,0.00299386,0.00453533,,,0.03126,,,75.61,0.06,0.09,150.6,-0.13,0.166,,,,3.89,3.06,-2.22,,
Kepler-1442 b,81.4162941,0.0495748,0.405305,0,,0.351,,,1,Transit,2016,291.2555834,48.84697222,,,525,1.34,1.44,6394,4.25,0.26,0.0002026,0.010267,0.00675509,,,0.00141,,,45.34,0.05,0.13,77,0.05,0.075,0.0002026,0.010267,0.00675509,,,0.06159,,,35.57,0.05,0.1,77.61,-0.06,0.084,,,,1.7,0.556,-0.459,,
Kepler-1443 b,2.41811321,0.00266535,0.0373628,0,,0.087,,,1,Transit,2016,283.4357501,47.06686111,,,475,1.19,1.27,6289,4.3,0,1.44E-05,0.00123549,0.000622714,,,0.00148,,,44.73,0.05,0.12,83.36,0.06,0.077,1.44E-05,0.00123549,0.000622714,,,0.02652,,,34.36,0.05,0.09,68.31,-0.07,0.08,14.7,,,2.63,0.774,-0.948,,
Kepler-1444 b,33.42035034,0.0162741,0.205066,0,,0.194,,,1,Transit,2016,285.3306251,42.04044444,,,340,1.03,1.05,5810,4.4,0.06,9.31E-05,0.0024919,0.00341776,,,0.00276,,,39.28,0.04,0.12,85.52,0.07,0.1,9.31E-05,0.0024919,0.00341776,,,0.05124,,,27.14,0.04,0.08,70.49,-0.09,0.087,,,,4.79,2.31,-2.64,,
Kepler-1445 b,10.60052251,0.00255759,0.0983673,0,,0.086,,,1,Transit,2016,280.2494583,43.91505556,,,482,1.13,1.26,6150,4.28,-0.03,9.27E-05,0.00126108,0.0018861,,,0.00018,,,98.61,0.07,0.26,71.3,0.11,0.084,9.27E-05,0.00126108,0.0018861,,,0.02982,,,59.4,0.06,0.15,60.88,-0.13,0.111,3.4,,,3.8,0.97,-1.39,,
Kepler-1446 b,0.68996783,0.00142986,0.0142447,0,,0.073,,,1,Transit,2016,289.4239584,46.72616667,,,162,0.81,0.75,4865,4.6,0.11,5.00E-07,0.000196482,0.000237412,,,0.00044,,,3.62,0.02,0.01,43.69,0.01,0.102,5.00E-07,0.000196482,0.000237412,,,0.00556,,,3.4,0.02,0.01,52.46,-0.01,0.097,,,,2.63,2.42,-1.12,,
Kepler-1447 b,56.6747285,0.0252452,0.28584,0,,0.259,,,1,Transit,2016,289.6434584,50.72708333,,,871,0.97,0.95,5722,4.47,-0.03,0.0003978,0.00518356,0.00540248,,,0.00118,,,144.68,0.05,0.16,108.69,0.06,0.13,0.0003978,0.00518356,0.00540248,,,0.06482,,,70.99,0.06,0.07,88.46,-0.13,0.183,,,,4.17,4.03,-2.41,,
Kepler-1448 b,12.27065865,0.0120099,0.102351,0,,0.144,,,1,Transit,2016,287.867375,50.59558333,,,786,0.95,0.93,5774,4.49,-0.16,5.89E-05,0.00196676,0.00233433,,,0.00053,,,100.86,0.06,0.12,89.88,0.05,0.176,5.89E-05,0.00196676,0.00233433,,,0.03247,,,74.56,0.07,0.08,66.69,-0.1,0.21,,,,3.55,3.85,-1.93,,
Kepler-1449 b,13.2274528,0.0124487,0.112305,0,,0.15,,,1,Transit,2016,288.23175,50.56788889,,,1321,1.08,1.1,5979,4.39,0.04,0.0001447,0.00292109,0.00225303,,,0.0007,,,278.12,0.07,0.23,98.77,0.08,0.143,0.0001447,0.00292109,0.00225303,,,0.0483,,,136.23,0.06,0.11,97.37,-0.15,0.169,,,,3.47,1.89,-1.79,,
Kepler-145 b,22.95102,0.117,,0.43,,0.236,,,2,Transit,2013,291.387762,44.529106,,11.93,584.1,1.418,1.887,6144,4.02,-0.674,0.00023,0.036,,0.18,,0.007,,,17.91,0.03,0.012,106,0.01,0.1,0.00023,-0.036,,0.25,,-0.007,,,17.91,0.019,0.012,106,-0.01,0.1,,,,2.62,0.26,0.24,,
Kepler-145 c,42.88254,0.25,,0.11,,0.35,,,2,Transit,2013,291.387762,44.529106,,11.93,584.1,1.418,1.887,6144,4.02,-0.674,0.00015,0.052,,0.11,,0.01,,,17.91,0.03,0.012,106,0.01,0.1,0.00015,-0.052,,0.11,,0.01,,,17.91,0.019,0.012,106,-0.01,0.1,,,,2.62,0.26,0.24,,
Kepler-1450 b,54.5094166,0.0126737,0.251,0,,0.153,,,1,Transit,2016,294.5538333,45.08138889,,,490,0.71,0.68,4524,4.63,-0.02,0.000527,0.000806999,0.00418333,,,0.00141,,,24.59,0.03,0.03,104.75,0.02,0.146,0.000527,0.000806999,0.00418333,,,0.02059,,,28.91,0.04,0.04,94.04,-0.03,0.147,,,,4.37,5.4,-2.44,,
Kepler-1451 b,35.622233,0.0337813,0.211879,0,,0.299,,,1,Transit,2016,293.4464166,40.40988889,,,1159,1,0.99,5782,4.45,0.01,0.0002098,0.0113902,0.00494384,,,0.00157,,,205.94,0.07,0.18,133.65,0.07,0.135,-0.0002098,0.0113902,0.00494384,,,0.11243,,,120.25,0.07,0.1,186.17,-0.14,0.164,,,,4.17,3.23,-2.44,,
Kepler-1452 b,42.913751,0.0222358,0.268995,0,,0.241,,,1,Transit,2016,292.4228334,38.26633333,,,974,1.41,2.06,6101,3.95,0.14,0.0003689,0.00443321,0.00794902,,,0.00055,,,136.99,0.11,0.28,90.21,0.08,0.081,0.0003689,0.00443321,0.00794902,,,0.06545,,,120.39,0.14,0.26,112.92,-0.07,0.093,,,,3.24,0.952,-0.62,,
Kepler-1453 b,47.1611696,0.021778,0.252883,0,,0.238,,,1,Transit,2016,286.1255417,47.94761111,,,1284,0.97,0.94,5665,4.48,0.01,0.0004176,0.00385897,0.00421472,,,0.00124,,,207.74,0.04,0.15,68.09,0.05,0.126,0.0004176,0.00385897,0.00421472,,,0.05676,,,95.22,0.05,0.07,70.11,-0.13,0.164,,,,4.27,4.71,-2.59,,
Kepler-1454 b,47.0319479,0.0138656,0.246197,0,,0.168,,,1,Transit,2016,284.2233333,48.83177778,,,795,0.9,0.86,5448,4.53,-0.02,0.0006695,0.0012673,0.00410328,,,0.0005,,,75.72,0.04,0.08,59.86,0.04,0.147,-0.0006695,0.0012673,0.00410328,,,0.0315,,,49.36,0.05,0.05,64.34,-0.09,0.169,,,,4.57,5.85,-2.87,,
Kepler-1455 b,49.276764,0.0161718,0.224301,0,,0.193,,,1,Transit,2016,294.0830417,50.50277778,,,392,0.62,0.6,4075,4.68,-0.02,0.0003737,0.00130189,0.00422072,,,0.00185,,,25.23,0.03,0.03,61.23,0.03,0.134,-0.0003737,0.00130189,0.00422072,,,0.02515,,,33.31,0.04,0.04,57.4,-0.02,0.167,,,,4.17,6.16,-2.4,,
Kepler-1456 b,18.1373829,0.00468851,0.116426,0,,0.102,,,1,Transit,2016,286.9453334,43.82277778,,,379,0.64,0.62,4231,4.67,-0.09,0.0001854,0.00149623,0.0039415,,,0.00103,,,28.47,0.05,0.04,68.4,0.05,0.212,0.0001854,0.00149623,0.0039415,,,0.01997,,,58.55,0.08,0.07,85.61,-0.02,0.336,,,,3.72,5.7,-2.1,,
Kepler-1457 b,51.1110243,0.0147338,0.270431,0,,0.178,,,1,Transit,2016,283.7705834,42.02725,,,728,1.01,1.01,5866,4.43,-0.05,0.0003738,0.00190786,0.00624758,,,0.00064,,,109.71,0.07,0.15,137.28,0.07,0.154,0.0003738,0.00190786,0.00624758,,,0.04536,,,76.76,0.07,0.1,119.79,-0.12,0.189,,,,3.72,3.08,-2.04,,
Kepler-1458 b,47.9872764,0.0230257,0.254946,0,,0.246,,,1,Transit,2016,283.211625,41.03805556,,,642,0.96,0.94,5653,4.48,0.02,0.0001776,0.00401214,0.00442614,,,0.00111,,,94.88,0.05,0.14,119.66,0.06,0.131,0.0001776,0.00401214,0.00442614,,,0.05489,,,53.51,0.05,0.07,136.13,-0.13,0.161,,,,4.17,4.64,-2.45,,
Kepler-1459 b,62.8691611,0.00842926,0.284837,0,,0.121,,,1,Transit,2016,282.4230417,46.01402778,,,435,0.78,0.74,4828,4.61,0.01,0.0009586,0.00174703,0.00474729,,,0.00118,,,16.49,0.03,0.02,42.43,0.02,0.15,0.0009586,0.00174703,0.00474729,,,0.01482,,,20.55,0.04,0.03,40.76,-0.04,0.161,,,,3.89,5.97,-2.2,,
Kepler-146 b,31.158799,0.0427893,0.193788,,,0.331,,0.21,2,Transit,2014,294.1107084,38.71023056,,,,,1.208,5948,4.312,-0.302,7.90E-05,0.0157543,0.0032298,,,0.062,,0.19,,,0.226,100,0.15,,-7.90E-05,0.0157543,0.0032298,,,0.062,,-0.19,,,0.226,100,0.15,,,,,,,,,
Kepler-146 c,76.732171,0.0292202,0.353393,,,0.27924,,0.12,2,Transit,2014,294.1107084,38.71023056,,,,,1.208,5948,4.312,-0.302,0.000609,0.00907638,0.00588989,,,0.0526363,,0.22,,,0.226,100,0.15,,0.000609,0.00907638,0.00588989,,,0.0526363,,-0.22,,,0.226,100,0.15,,,,,,,,,
Kepler-1460 b,29.9633247,0.0144664,0.167635,0,,0.175,,,1,Transit,2016,285.5577917,44.01077778,,,574,0.7,0.67,4422,4.64,-0.02,0.0002186,0.00101158,0.00319306,,,0.00176,,,25.11,0.03,0.02,43.62,0.02,0.18,-0.0002186,0.00101158,0.00319306,,,0.02224,,,40.55,0.05,0.04,45.02,-0.03,0.172,,,,3.98,5.95,-2.27,,
Kepler-1461 b,29.3494775,0.0150076,0.17214,0,,0.181,,,1,Transit,2016,285.8304584,43.19838889,,,752,0.79,0.74,4919,4.6,-0.04,0.0001832,0.000973568,0.00326849,,,0.00052,,,36.39,0.04,0.03,49.81,0.02,0.174,0.0001832,0.000973568,0.00326849,,,0.02148,,,44.47,0.05,0.04,58.16,-0.04,0.174,,,,3.24,6.56,-1.66,,
Kepler-1462 b,65.6488341,0.0460671,0.318487,0,,0.341,,,1,Transit,2016,296.3975417,42.39691667,,,1368,1,1,5756,4.45,0.06,0.0006621,0.0151403,0.00743135,,,0.002,,,281.39,0.07,0.21,144.59,0.07,0.146,0.0006621,0.0151403,0.00743135,,,0.106,,,154.53,0.07,0.1,206.5,-0.16,0.142,,,,4.07,3.6,-2.34,,
Kepler-1463 b,25.15864,0.0136995,0.165763,0,,0.166,,,1,Transit,2016,294.4872917,42.00691667,,,1341,0.96,0.95,5679,4.47,0,0.0005123,0.00176137,0.00316562,,,0.00097,,,229.49,0.05,0.16,93.91,0.06,0.147,0.0005123,0.00176137,0.00316562,,,0.04503,,,124.82,0.06,0.08,125.8,-0.14,0.191,,,,4.79,4.15,-2.99,,
Kepler-1464 b,31.7785901,0.0123008,0.19765,0,,0.148,,,2,Transit,2016,287.2356666,38.75416667,,,692,1.02,1.01,5828,4.44,0.03,0.0002734,0.00212613,0.00387549,,,0.00063,,,118.93,0.06,0.17,112.18,0.07,0.147,0.0002734,0.00212613,0.00387549,,,0.03937,,,68.73,0.06,0.09,169.63,-0.13,0.162,,,,3.89,2.85,-2.22,,
Kepler-1464 c,5.32786292,0.00289089,0.0600955,0,,0.089,,,2,Transit,2016,287.2356666,38.75416667,,,692,1.02,1.01,5828,4.44,0.03,5.39E-05,0.00139069,0.00117834,,,0.00042,,,118.93,0.06,0.17,112.18,0.07,0.147,5.39E-05,0.00139069,0.00117834,,,0.02958,,,68.73,0.06,0.09,169.63,-0.13,0.162,,,,3.89,2.85,-2.22,,
Kepler-1465 b,31.8277111,0.0130579,0.178579,0,,0.158,,,1,Transit,2016,289.8193334,51.90486111,,,350,0.75,0.71,4726,4.62,-0.06,0.0001219,0.00122057,0.00357158,,,0.00449,,,15.94,0.04,0.03,60.73,0.02,0.174,0.0001219,0.00122057,0.00357158,,,0.04351,,,21.93,0.05,0.04,75.37,-0.03,0.175,,,,3.72,6.1,-2.06,,
Kepler-1466 b,31.1750448,0.0115843,0.194499,0,,0.138,,,1,Transit,2016,289.8312084,44.60986111,,,686,1.01,1.02,5884,4.43,-0.07,0.0002157,0.00372886,0.00449339,,,0.00062,,,120.77,0.07,0.17,144.58,0.07,0.149,0.0002157,0.00372886,0.00449339,,,0.03838,,,75.59,0.07,0.1,128.07,-0.14,0.196,,,,3.89,2.76,-2.18,,
Kepler-1467 b,47.0569043,0.0325593,0.24258,0,,0.294,,,1,Transit,2016,295.0485417,45.34269444,,,890,0.86,0.82,5332,4.55,-0.07,0.0001835,0.00543314,0.00564139,,,0.00122,,,88.85,0.06,0.07,179.19,0.04,0.159,-0.0001835,0.00543314,0.00564139,,,0.04878,,,71.04,0.06,0.06,173.73,-0.07,0.187,,,,4.37,6.25,-2.68,,
